,precision,recall,f1-score,support,Timestamp
6,0.7170010559662091,0.679,0.6974833076527992,1000.0,09102024_123444
7,0.9458661417322834,0.961,0.953373015873016,1000.0,09102024_123444
8,0.966403162055336,0.978,0.9721669980119284,1000.0,09102024_123444
9,0.9724489795918368,0.953,0.9626262626262626,1000.0,09102024_123444
accuracy,0.8996,0.8996,0.8996,0.8996,09102024_123444
macro avg,0.8988394775354058,0.8995999999999998,0.8990010586235717,10000.0,09102024_123444
weighted avg,0.8988394775354058,0.8996,0.8990010586235718,10000.0,09102024_123444
0,0.8722044728434505,0.819,0.8447653429602888,1000.0,09102024_123606
1,0.977205153617443,0.986,0.9815828770532604,1000.0,09102024_123606
2,0.8485436893203884,0.874,0.8610837438423645,1000.0,09102024_123606
3,0.8966202783300199,0.902,0.8993020937188435,1000.0,09102024_123606
4,0.8599585062240664,0.829,0.8441955193482689,1000.0,09102024_123606
5,0.9886947584789312,0.962,0.9751647237709072,1000.0,09102024_123606
6,0.6940509915014165,0.735,0.7139388052452647,1000.0,09102024_123606
7,0.9441723800195886,0.964,0.9539831766452253,1000.0,09102024_123606
8,0.9758551307847082,0.97,0.9729187562688064,1000.0,09102024_123606
9,0.9621890547263682,0.967,0.9645885286783042,1000.0,09102024_123606
accuracy,0.9008,0.9008,0.9008,0.9008,09102024_123606
macro avg,0.901949441584638,0.9008,0.9011523567531532,10000.0,09102024_123606
weighted avg,0.901949441584638,0.9008,0.9011523567531534,10000.0,09102024_123606
0,0.8336538461538462,0.867,0.85,1000.0,09102024_123854
1,0.9948979591836736,0.975,0.9848484848484848,1000.0,09102024_123854
2,0.8352380952380952,0.877,0.855609756097561,1000.0,09102024_123854
3,0.8853564547206165,0.919,0.9018645731108932,1000.0,09102024_123854
4,0.8625792811839323,0.816,0.8386433710174718,1000.0,09102024_123854
5,0.9866255144032922,0.959,0.9726166328600404,1000.0,09102024_123854
6,0.7191709844559585,0.694,0.7063613231552163,1000.0,09102024_123854
7,0.92680608365019,0.975,0.9502923976608189,1000.0,09102024_123854
8,0.983640081799591,0.962,0.9726996966632964,1000.0,09102024_123854
9,0.9703779366700716,0.95,0.9600808489135928,1000.0,09102024_123854
accuracy,0.8994,0.8994,0.8994,0.8994,09102024_123854
macro avg,0.8998346237459268,0.8994,0.8993017084327375,10000.0,09102024_123854
weighted avg,0.8998346237459267,0.8994,0.8993017084327375,10000.0,09102024_123854
0,0.8107109879963066,0.878,0.8430148823811809,1000.0,09102024_124348
1,0.9959183673469388,0.976,0.985858585858586,1000.0,09102024_124348
2,0.7218282111899134,0.916,0.8074041427941825,1000.0,09102024_124348
3,0.8732261116367077,0.923,0.8974234321827905,1000.0,09102024_124348
4,0.8953804347826086,0.659,0.7592165898617511,1000.0,09102024_124348
5,0.9935414424111948,0.923,0.9569725246241576,1000.0,09102024_124348
6,0.7493734335839599,0.598,0.6651835372636262,1000.0,09102024_124348
7,0.9135802469135802,0.962,0.9371651242084754,1000.0,09102024_124348
8,0.9179869524697112,0.985,0.9503135552339604,1000.0,09102024_124348
9,0.9481409001956947,0.969,0.9584569732937686,1000.0,09102024_124348
accuracy,0.8789,0.8789,0.8789,0.8789,09102024_124348
macro avg,0.8819687088526615,0.8789000000000001,0.876100934770248,10000.0,09102024_124348
weighted avg,0.8819687088526617,0.8789,0.876100934770248,10000.0,09102024_124348
0,0.8636363636363636,0.836,0.8495934959349594,1000.0,09102024_124444
1,0.9959058341862844,0.973,0.9843196762771876,1000.0,09102024_124444
2,0.8430622009569378,0.881,0.8616136919315404,1000.0,09102024_124444
3,0.8763082778306375,0.921,0.8980984885421746,1000.0,09102024_124444
4,0.8489208633093526,0.826,0.8373035985808414,1000.0,09102024_124444
5,0.9857433808553973,0.968,0.9767911200807264,1000.0,09102024_124444
6,0.7142857142857143,0.695,0.7045108971109985,1000.0,09102024_124444
7,0.928842504743833,0.979,0.9532619279454724,1000.0,09102024_124444
8,0.9711155378486056,0.975,0.9730538922155688,1000.0,09102024_124444
9,0.9763617677286742,0.95,0.963000506842372,1000.0,09102024_124444
accuracy,0.9004,0.9004,0.9004,0.9004,09102024_124444
macro avg,0.9004182445381801,0.9004,0.9001547295461843,10000.0,09102024_124444
weighted avg,0.9004182445381801,0.9004,0.9001547295461841,10000.0,09102024_124444
0,0.8747323340471093,0.817,0.8448810754912099,1000.0,09102024_124540
1,0.9839357429718876,0.98,0.9819639278557114,1000.0,09102024_124540
2,0.8473581213307241,0.866,0.8565776458951533,1000.0,09102024_124540
3,0.921218487394958,0.877,0.8985655737704918,1000.0,09102024_124540
